city,price,year,manufacturer,condition,cylinders,odometer,title_status,transmission,drive,size,type,paint_color
"Norfolk, VA",9700,2012,honda,excellent,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,black
imperial county,9300,2015,honda,excellent,4 cylinders,100000,salvage,automatic,fwd,mid-size,sedan,silver
"chattanooga, TN",7500,2010,toyota,good,6 cylinders,100000,salvage,automatic,fwd,mid-size,mini-van,white
"jacksonville, NC",4500,2013,chrysler,good,4 cylinders,100000,rebuilt,manual,fwd,mid-size,sedan,black
"cincinnati, OH",3999,2013,ford,excellent,4 cylinders,100000,rebuilt,manual,fwd,compact,sedan,grey
"tri-cities, TN",5700,2010,volkswagen,excellent,6 cylinders,100000,clean,manual,fwd,full-size,sedan,silver
rhode island,8000,2012,honda,like new,4 cylinders,100000,clean,manual,fwd,compact,sedan,red
indianapolis,3900,2010,kia,like new,4 cylinders,100000,clean,manual,fwd,full-size,sedan,black
"knoxville, TN",14500,2011,ford,good,8 cylinders,100000,clean,manual,rwd,compact,coupe,black
south florida,6000,2013,toyota,new,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,grey
indianapolis,16000,2014,ram,good,6 cylinders,100000,clean,automatic,4wd,full-size,truck,black
northern panhandle,9000,2014,honda,good,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,blue
"new haven, CT",8000,2013,volkswagen,good,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,black
"cedar rapids, IA",7000,2014,ford,good,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,grey
albuquerque,5500,2013,mazda,good,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"Edinburg, TX",4500,2013,nissan,good,4 cylinders,100000,clean,automatic,fwd,compact,sedan,silver
los angeles,3900,2013,nissan,good,4 cylinders,100000,clean,automatic,fwd,compact,sedan,silver
"wausau, WI",3000,2010,kia,good,4 cylinders,100000,clean,automatic,fwd,compact,sedan,custom
"tucson, AZ",7000,2010,toyota,good,4 cylinders,100000,clean,automatic,fwd,compact,hatchback,blue
"winchester, VA",10500,2012,chevrolet,good,6 cylinders,100000,clean,automatic,rwd,compact,sedan,silver
"long island, NY",4700,2010,mazda,good,6 cylinders,100000,clean,automatic,4wd,mid-size,SUV,black
"long island, NY",2700,2010,chevrolet,good,6 cylinders,100000,clean,automatic,4wd,compact,other,custom
"orlando, FL",6500,2013,hyundai,like new,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,grey
"hudson valley, NY",7200,2013,volkswagen,like new,4 cylinders,100000,clean,automatic,rwd,mid-size,sedan,blue
"Edinburg, TX",9500,2011,ford,like new,6 cylinders,100000,clean,automatic,fwd,mid-size,SUV,brown
"Moorhead, MN",24000,2015,ford,like new,6 cylinders,100000,clean,automatic,4wd,full-size,truck,red
"grand rapids, MI",10825,2014,dodge,like new,6 cylinders,100000,clean,automatic,fwd,full-size,mini-van,blue
"Albany, NY",13500,2014,honda,like new,6 cylinders,100000,clean,automatic,fwd,full-size,sedan,white
"new haven, CT",9500,2010,bmw,like new,6 cylinders,100000,clean,automatic,rwd,full-size,sedan,blue
"klamath falls, OR",23000,2014,ford,like new,8 cylinders,100000,clean,automatic,4wd,full-size,pickup,silver
"columbus, OH",15980,2012,chevrolet,excellent,8 cylinders,100000,clean,automatic,rwd,full-size,convertible,black
"Oshkosh, WI",26500,2014,toyota,excellent,8 cylinders,100000,clean,automatic,4wd,full-size,SUV,black
"Midland-Odessa, TX",14995,2014,ford,excellent,8 cylinders,100000,clean,automatic,4wd,full-size,pickup,white
"sioux falls, SD",15000,2011,gmc,excellent,8 cylinders,100000,clean,automatic,4wd,full-size,pickup,grey
"grand rapids, MI",8950,2011,ford,excellent,6 cylinders,100000,clean,automatic,4wd,mid-size,SUV,grey
"Edinburg, TX",16500,2013,audi,excellent,6 cylinders,100000,clean,automatic,4wd,full-size,SUV,grey
"rochester, NY",12796,2014,nissan,excellent,6 cylinders,100000,clean,automatic,4wd,full-size,SUV,white
"madera, CA",12500,2015,kia,excellent,6 cylinders,100000,clean,automatic,4wd,mid-size,SUV,grey
"washington, DC",6200,2012,nissan,excellent,6 cylinders,100000,clean,automatic,fwd,full-size,sedan,silver
"bend, OR",16250,2013,audi,excellent,6 cylinders,100000,clean,automatic,4wd,mid-size,sedan,blue
tampa bay area,8995,2011,lexus,excellent,6 cylinders,100000,clean,automatic,fwd,mid-size,sedan,blue
south jersey,10685,2014,chrysler,excellent,6 cylinders,100000,clean,automatic,fwd,mid-size,mini-van,black
south jersey,10685,2014,chrysler,excellent,6 cylinders,100000,clean,automatic,fwd,mid-size,mini-van,black
little rock,8950,2011,chrysler,excellent,6 cylinders,100000,clean,automatic,fwd,mid-size,van,grey
little rock,8500,2011,chrysler,excellent,6 cylinders,100000,clean,automatic,fwd,mid-size,van,grey
"harrisburg, PA",7995,2012,kia,excellent,4 cylinders,100000,clean,automatic,4wd,mid-size,SUV,brown
indianapolis,6500,2011,jeep,excellent,4 cylinders,100000,clean,automatic,4wd,full-size,SUV,red
northwest OK,9288,2012,ford,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,SUV,red
"charleston, WV",8900,2013,chevrolet,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,SUV,custom
"Raleigh-Durham, Durham, NC",8499,2011,toyota,excellent,4 cylinders,100000,clean,automatic,fwd,compact,SUV,silver
"chillicothe, OH",5800,2013,chevrolet,excellent,4 cylinders,100000,clean,automatic,fwd,sub-compact,sedan,blue
"new haven, CT",8800,2015,honda,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,grey
"new haven, CT",8700,2015,honda,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,grey
"treasure coast, FL",5700,2010,volkswagen,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,black
"treasure coast, FL",5600,2010,volkswagen,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,black
"treasure coast, FL",5600,2010,volkswagen,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,black
"washington, DC",5400,2012,volkswagen,excellent,4 cylinders,100000,clean,automatic,fwd,full-size,sedan,white
"Albany, NY",7500,2011,hyundai,excellent,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"Albany, NY",7500,2011,hyundai,excellent,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"Albany, NY",7500,2011,hyundai,excellent,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"Albany, NY",7500,2011,hyundai,excellent,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"Albany, NY",7500,2011,hyundai,excellent,4 cylinders,100000,clean,automatic,fwd,compact,sedan,black
"yakima, WA",6950,2013,dodge,excellent,4 cylinders,100000,rebuilt,automatic,fwd,compact,sedan,red
"Scranton--Wilkes-Barre, PA",6000,2013,chevrolet,excellent,4 cylinders,100000,clean,automatic,fwd,mid-size,sedan,blue
"gainesville, FL",3999,2010,toyota,excellent,4 cylinders,99999,clean,automatic,fwd,mid-size,sedan,blue
"hudson valley, NY",13950,2011,bmw,like new,8 cylinders,99996,clean,automatic,4wd,full-size,sedan,white
central NJ,8995,2016,ford,excellent,4 cylinders,99995,clean,automatic,fwd,mid-size,sedan,blue
"orange county, CA",16995,2016,ford,good,6 cylinders,99985,clean,automatic,rwd,full-size,wagon,white
western slope,24995,2014,ram,excellent,8 cylinders,99985,clean,automatic,4wd,full-size,truck,white
western slope,24995,2014,ram,excellent,8 cylinders,99985,clean,automatic,4wd,full-size,truck,white
tampa bay area,6995,2010,honda,excellent,4 cylinders,99985,clean,automatic,fwd,mid-size,wagon,silver
"Scranton--Wilkes-Barre, PA",22250,2013,toyota,like new,6 cylinders,99982,clean,automatic,4wd,mid-size,truck,black
"treasure coast, FL",17995,2010,lexus,good,8 cylinders,99979,clean,automatic,4wd,full-size,SUV,custom
"Omaha-Council Bluffs, NE-IA",8500,2010,mazda,excellent,4 cylinders,99978,clean,automatic,fwd,mid-size,sedan,red
new york city,7999,2011,honda,like new,6 cylinders,99977,clean,automatic,4wd,full-size,SUV,black
"st louis, MO",5599,2014,jeep,excellent,4 cylinders,99975,clean,automatic,4wd,full-size,SUV,black
"knoxville, TN",20934,2012,chevrolet,good,8 cylinders,99969,clean,automatic,4wd,full-size,truck,red
"knoxville, TN",20934,2012,chevrolet,good,8 cylinders,99969,clean,automatic,4wd,full-size,truck,red
"washington, DC",6750,2011,subaru,excellent,4 cylinders,99968,clean,automatic,4wd,mid-size,wagon,white
"greensboro, NC",14995,2014,nissan,excellent,6 cylinders,99968,clean,automatic,4wd,full-size,SUV,grey
"Worcester, MA",19925,2017,ford,excellent,6 cylinders,99960,clean,automatic,4wd,full-size,SUV,white
"lubbock, TX",7500,2012,nissan,good,4 cylinders,99950,clean,automatic,4wd,mid-size,SUV,white
"abilene, TX",6500,2012,nissan,good,4 cylinders,99950,clean,automatic,4wd,mid-size,SUV,white
"Spokane, WA",18800,2011,jeep,excellent,6 cylinders,99950,clean,automatic,4wd,mid-size,SUV,black
"austin, TX",9900,2011,mazda,good,6 cylinders,99944,clean,automatic,fwd,full-size,SUV,silver
"fort wayne, IN",7900,2011,chrysler,excellent,6 cylinders,99937,clean,automatic,fwd,full-size,mini-van,black
"Reno, NV",18995,2013,toyota,like new,6 cylinders,99935,clean,automatic,4wd,full-size,SUV,silver
"st louis, MO",11999,2016,chevrolet,excellent,6 cylinders,99929,clean,automatic,rwd,full-size,truck,red
"birmingham, AL",19800,2012,toyota,excellent,8 cylinders,99925,clean,automatic,4wd,full-size,pickup,black
central NJ,7999,2010,chevrolet,excellent,8 cylinders,99921,clean,automatic,rwd,full-size,van,white
"fort wayne, IN",8988,2011,ford,good,6 cylinders,99919,clean,automatic,4wd,compact,SUV,black
"fort wayne, IN",8988,2011,ford,good,6 cylinders,99919,clean,automatic,4wd,compact,SUV,black
"toledo, OH",8988,2011,ford,good,6 cylinders,99919,clean,automatic,4wd,compact,SUV,black
"chico, CA",6995,2010,nissan,excellent,4 cylinders,99912,clean,automatic,fwd,mid-size,SUV,grey
"chattanooga, TN",19880,2012,toyota,good,6 cylinders,99901,clean,automatic,rwd,full-size,truck,black
"eau claire, WI",7899,2012,chevrolet,good,4 cylinders,99900,clean,automatic,fwd,mid-size,sedan,silver
"austin, TX",7900,2010,nissan,excellent,8 cylinders,99900,clean,automatic,fwd,full-size,sedan,black
northwest OK,19000,2012,ford,excellent,8 cylinders,99900,clean,automatic,4wd,full-size,pickup,red
"tucson, AZ",5950,2012,kia,excellent,6 cylinders,99900,clean,automatic,fwd,mid-size,SUV,silver
"laredo, TX",7500,2014,ford,like new,4 cylinders,99900,clean,automatic,rwd,full-size,sedan,white
"Raleigh-Durham, Durham, NC",22990,2016,toyota,excellent,8 cylinders,99899,clean,automatic,4wd,full-size,SUV,grey
eastern NC,23500,2013,gmc,excellent,8 cylinders,99894,clean,automatic,4wd,mid-size,SUV,white
"fayetteville, NC",23500,2013,gmc,excellent,8 cylinders,99894,clean,automatic,4wd,mid-size,SUV,white
SF bay area,15900,2012,jeep,excellent,6 cylinders,99890,clean,automatic,4wd,full-size,SUV,black
"Madison, WI",20777,2011,chevrolet,like new,8 cylinders,99886,clean,automatic,4wd,mid-size,SUV,black
"Fort Collins, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
wyoming,10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"boulder, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
wyoming,10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"boulder, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"Fort Collins, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"boulder, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"boulder, CO",10495,2012,gmc,good,6 cylinders,99884,clean,automatic,4wd,full-size,SUV,custom
"nashville, TN",13500,2013,ford,excellent,6 cylinders,99884,clean,automatic,fwd,mid-size,SUV,white
"mobile, AL",28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
"birmingham, AL",28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
"hattiesburg, MS",28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
"jackson, MS",28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
baton rouge,28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
"montgomery, AL",28900,2015,gmc,good,8 cylinders,99880,clean,automatic,rwd,full-size,SUV,black
"columbus, OH",2700,2011,kia,excellent,4 cylinders,99875,clean,automatic,fwd,full-size,sedan,white
"Fort Myers, Florida",9988,2011,bmw,excellent,6 cylinders,99873,clean,automatic,rwd,mid-size,sedan,blue
"kansas city, MO",7800,2014,jeep,excellent,4 cylinders,99873,clean,automatic,4wd,mid-size,SUV,custom
